YearBuilt,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,YrSold,SalePrice
2003,854,1710,2,1,3,8,2008,208500
1976,0,1262,2,0,3,6,2007,181500
2001,866,1786,2,1,3,6,2008,223500
1915,756,1717,1,0,3,7,2006,140000
2000,1053,2198,2,1,4,9,2008,250000
1993,566,1362,1,1,1,5,2009,143000
2004,0,1694,2,0,3,7,2007,307000
1973,983,2090,2,1,3,7,2009,200000
1931,752,1774,2,0,2,8,2008,129900
1939,0,1077,1,0,2,5,2008,118000
1965,0,1040,1,0,3,5,2008,129500
2005,1142,2324,3,0,4,11,2006,345000
1962,0,912,1,0,2,4,2008,144000
2006,0,1494,2,0,3,7,2007,279500
1960,0,1253,1,1,2,5,2008,157000
1929,0,854,1,0,2,5,2007,132000
1970,0,1004,1,0,2,5,2010,149000
1967,0,1296,2,0,2,6,2006,90000
2004,0,1114,1,1,3,6,2008,159000
1958,0,1339,1,0,3,6,2009,139000
2005,1218,2376,3,1,4,9,2006,325300
1930,0,1108,1,0,3,6,2007,139400
2002,0,1795,2,0,3,7,2008,230000
1976,0,1060,1,0,3,6,2007,129900
1968,0,1060,1,0,3,6,2010,154000
2007,0,1600,2,0,3,7,2009,256300
1951,0,900,1,0,3,5,2010,134800
2007,0,1704,2,0,3,7,2010,306000
1957,0,1600,1,0,2,6,2006,207500
1927,0,520,1,0,1,4,2008,68500
1920,668,1317,1,0,3,6,2008,40000
1966,0,1228,1,1,3,6,2008,149350
2007,0,1234,2,0,3,7,2008,179900
1959,0,1700,1,1,4,6,2010,165500
2005,0,1561,2,0,2,6,2007,277500
2004,1320,2452,3,1,4,9,2006,309000
1994,0,1097,1,1,3,6,2009,145000
1954,0,1297,1,0,3,5,2009,153000
1953,0,1057,1,0,3,5,2010,109000
1955,0,1152,2,0,2,6,2008,82000
1965,0,1324,2,0,3,6,2006,160000
1959,0,1328,1,1,2,5,2007,170000
1983,0,884,1,0,2,5,2007,144000
1975,0,938,1,0,3,5,2008,130250
1959,0,1150,1,0,3,6,2006,141000
2005,0,1752,2,0,2,6,2010,319900
2003,631,2149,1,1,1,6,2009,239686
2006,0,1656,2,0,3,7,2007,249700
1920,716,1452,2,0,2,8,2009,113000
1966,0,955,1,0,3,6,2007,127000
1997,676,1470,2,0,3,6,2007,177000
1934,0,1176,1,0,3,6,2006,114500
1963,0,816,1,0,2,5,2010,110000
1981,0,1842,0,1,0,5,2006,385000
1955,0,1360,1,0,3,6,2007,130000
1964,0,1425,2,0,3,7,2008,180500
1999,756,1739,2,1,3,7,2009,172500
2004,860,1720,2,1,3,7,2006,196500
2006,1519,2945,3,1,3,10,2006,438780
1972,0,780,1,0,2,4,2008,124900
2004,0,1158,1,1,3,5,2006,158000
1920,530,1111,1,0,3,6,2007,101000
2006,0,1370,2,0,2,6,2007,202500
1921,808,1710,2,0,3,9,2010,140000
1997,977,2034,2,1,3,8,2009,219500
2004,1330,2473,2,1,4,9,2007,317000
1970,0,2207,2,0,3,7,2010,180000
2003,0,1479,2,0,3,7,2007,226000
1945,0,747,1,0,2,4,2010,80000
1953,983,2287,2,0,3,7,2006,225000
1973,0,2223,2,0,3,8,2007,244000
1982,0,845,1,0,2,4,2007,129500
1998,833,1718,2,1,3,7,2009,185000
1954,0,1086,1,0,3,6,2010,144900
1915,765,1605,2,0,3,8,2010,107400
1973,462,988,1,0,2,5,2009,91000
1956,0,952,1,0,2,4,2008,135750
1948,213,1285,1,0,2,6,2008,127000
1968,0,1768,2,0,4,8,2010,136500
1910,548,1230,1,1,2,5,2009,110000
1968,960,2142,2,1,4,8,2009,193500
1998,0,1337,2,0,2,5,2006,153500
2007,0,1563,2,0,3,6,2008,245000
1960,0,1065,1,1,3,6,2007,126500
1995,670,1474,2,1,3,7,2009,168500
1991,1116,2417,2,1,4,9,2006,260000
2005,876,1560,2,1,3,6,2009,174000
2009,612,1224,2,1,2,4,2009,164500
1915,0,1526,1,0,2,6,2009,85000
1994,0,990,1,0,3,5,2007,123600
1950,0,1040,1,0,2,4,2006,109900
1961,0,1235,1,0,2,6,2006,98600
1921,0,964,1,0,2,5,2009,163500
1910,1031,2291,2,0,4,9,2007,133900
1997,881,1786,2,1,3,7,2007,204750
1993,790,1470,2,1,3,6,2009,185000
1999,0,1588,2,0,3,6,2006,214000
1965,0,960,1,0,3,6,2007,94750
1920,0,835,1,0,2,5,2010,83000
1959,0,1225,1,1,3,6,2010,128950
1977,0,1610,2,0,3,6,2010,205000
1985,755,1732,2,1,3,7,2010,178000
1979,0,1535,2,0,4,8,2009,118964
2009,0,1226,2,0,3,6,2010,198900
1931,592,1818,1,1,4,7,2007,169500
2003,939,1992,2,1,3,9,2008,250000
1885,0,1047,1,0,2,6,2007,100000
1948,0,789,1,0,2,5,2008,115000
1919,520,1517,2,0,3,7,2007,115000
1977,0,1844,2,0,3,7,2010,190000
1954,639,1855,2,0,4,7,2006,136900
2000,656,1430,2,1,3,7,2010,180000
2007,1414,2696,2,1,4,10,2007,383970
1953,0,2259,2,0,3,7,2007,217000
1945,884,2320,2,1,3,9,2007,259500
1999,729,1458,2,1,2,5,2007,176000
1962,0,1092,1,0,3,6,2009,139000
2006,0,1125,1,1,2,5,2007,155000
1990,1523,3222,3,0,5,11,2010,320000
2005,728,1456,2,1,3,8,2006,163990
1969,0,988,1,0,1,4,2006,180000
1939,351,1123,1,0,3,4,2007,100000
1958,0,1080,1,0,3,5,2008,136000
1993,0,1199,2,0,2,5,2008,153900
1979,0,1586,2,0,3,7,2009,181000
1935,0,754,1,0,2,5,2006,84500
1976,0,958,2,0,2,5,2007,128000
1930,0,840,1,0,3,5,2007,87000
1966,688,1348,1,1,3,6,2006,155000
1958,0,1053,1,1,3,6,2006,150000
1966,941,2157,2,1,4,8,2006,226000
2000,1032,2054,2,1,3,7,2009,244000
1959,0,1327,1,0,3,7,2007,150750
2001,0,1296,2,0,2,6,2009,220000
1968,0,1721,2,1,3,7,2006,180000
1970,0,1682,2,0,3,7,2008,174000
1967,0,1214,2,0,3,5,2007,143000
1988,0,1959,3,0,5,9,2006,171000
1999,848,1852,2,1,3,7,2008,230000
1997,836,1764,2,1,3,7,2009,231500
1971,0,864,1,0,3,5,2010,115000
2005,0,1734,2,0,3,7,2006,260000
1952,475,1385,2,0,4,6,2010,166000
1999,0,1501,2,0,3,6,2009,204000
1963,0,1728,2,0,6,10,2006,125000
2004,739,1709,2,0,3,7,2006,130000
1931,0,875,1,0,2,5,2009,105000
2001,1151,2035,2,1,3,8,2010,222500
2004,0,1080,1,0,3,6,2008,141000
1936,448,1344,1,0,3,7,2006,115000
1975,0,969,1,1,3,5,2007,122000
2007,0,1710,2,0,2,6,2008,372402
