OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,WoodDeckSF,YrSold,SaleCondition,SalePrice
7,5,2003,2003,856,854,0,1710,1,0,2,1,3,1,8,0,2008,Normal,208500
6,8,1976,1976,1262,0,0,1262,0,1,2,0,3,1,6,298,2007,Normal,181500
7,5,2001,2002,920,866,0,1786,1,0,2,1,3,1,6,0,2008,Normal,223500
7,5,1915,1970,756,756,0,1717,1,0,1,0,3,1,7,0,2006,Abnorml,140000
8,5,2000,2000,1145,1053,0,2198,1,0,2,1,4,1,9,192,2008,Normal,250000
5,5,1993,1995,796,566,0,1362,1,0,1,1,1,1,5,40,2009,Normal,143000
8,5,2004,2005,1686,0,0,1694,1,0,2,0,3,1,7,255,2007,Normal,307000
7,6,1973,1973,1107,983,0,2090,1,0,2,1,3,1,7,235,2009,Normal,200000
7,5,1931,1950,952,752,0,1774,0,0,2,0,2,2,8,90,2008,Abnorml,129900
5,6,1939,1950,991,0,0,1077,1,0,1,0,2,2,5,0,2008,Normal,118000
5,5,1965,1965,1040,0,0,1040,1,0,1,0,3,1,5,0,2008,Normal,129500
9,5,2005,2006,1175,1142,0,2324,1,0,3,0,4,1,11,147,2006,Partial,345000
5,6,1962,1962,912,0,0,912,1,0,1,0,2,1,4,140,2008,Normal,144000
7,5,2006,2007,1494,0,0,1494,0,0,2,0,3,1,7,160,2007,Partial,279500
6,5,1960,1960,1253,0,0,1253,1,0,1,1,2,1,5,0,2008,Normal,157000
7,8,1929,2001,832,0,0,854,0,0,1,0,2,1,5,48,2007,Normal,132000
6,7,1970,1970,1004,0,0,1004,1,0,1,0,2,1,5,0,2010,Normal,149000
4,5,1967,1967,0,0,0,1296,0,0,2,0,2,2,6,0,2006,Normal,90000
5,5,2004,2004,1114,0,0,1114,1,0,1,1,3,1,6,0,2008,Normal,159000
5,6,1958,1965,1029,0,0,1339,0,0,1,0,3,1,6,0,2009,Abnorml,139000
8,5,2005,2006,1158,1218,0,2376,0,0,3,1,4,1,9,240,2006,Partial,325300
7,7,1930,1950,637,0,0,1108,0,0,1,0,3,1,6,0,2007,Normal,139400
8,5,2002,2002,1777,0,0,1795,0,0,2,0,3,1,7,171,2008,Normal,230000
5,7,1976,1976,1040,0,0,1060,1,0,1,0,3,1,6,100,2007,Normal,129900
5,8,1968,2001,1060,0,0,1060,1,0,1,0,3,1,6,406,2010,Normal,154000
8,5,2007,2007,1566,0,0,1600,0,0,2,0,3,1,7,0,2009,Normal,256300
5,7,1951,2000,900,0,0,900,0,1,1,0,3,1,5,222,2010,Normal,134800
8,5,2007,2008,1704,0,0,1704,1,0,2,0,3,1,7,0,2010,Normal,306000
5,6,1957,1997,1484,0,0,1600,1,0,1,0,2,1,6,288,2006,Normal,207500
4,6,1927,1950,520,0,0,520,0,0,1,0,1,1,4,49,2008,Normal,68500
4,4,1920,1950,649,668,0,1317,0,0,1,0,3,1,6,0,2008,Normal,40000
5,6,1966,2006,1228,0,0,1228,0,0,1,1,3,1,6,0,2008,Normal,149350
8,5,2007,2007,1234,0,0,1234,0,0,2,0,3,1,7,0,2008,Normal,179900
5,5,1959,1959,1398,0,0,1700,0,1,1,1,4,1,6,0,2010,Normal,165500
9,5,2005,2005,1561,0,0,1561,1,0,2,0,2,1,6,203,2007,Normal,277500
8,5,2004,2005,1117,1320,0,2452,0,0,3,1,4,1,9,113,2006,Normal,309000
5,5,1994,1995,1097,0,0,1097,0,0,1,1,3,1,6,392,2009,Normal,145000
5,6,1954,1990,1297,0,0,1297,0,1,1,0,3,1,5,0,2009,Normal,153000
5,7,1953,2007,1057,0,0,1057,1,0,1,0,3,1,5,0,2010,Abnorml,109000
4,5,1955,1955,0,0,0,1152,0,0,2,0,2,2,6,0,2008,AdjLand,82000
6,5,1965,1965,1088,0,0,1324,0,0,2,0,3,1,6,0,2006,Abnorml,160000
5,6,1959,1959,1350,0,0,1328,0,1,1,1,2,1,5,0,2007,Normal,170000
5,7,1983,1983,840,0,0,884,1,0,1,0,2,1,5,240,2007,Normal,144000
5,6,1975,1980,938,0,0,938,1,0,1,0,3,1,5,145,2008,Normal,130250
5,6,1959,1959,1150,0,0,1150,1,0,1,0,3,1,6,0,2006,Normal,141000
9,5,2005,2005,1752,0,0,1752,1,0,2,0,2,1,6,196,2010,Normal,319900
7,5,2003,2003,1434,631,0,2149,1,0,1,1,1,1,6,168,2009,Abnorml,239686
8,5,2006,2006,1656,0,0,1656,0,0,2,0,3,1,7,0,2007,Normal,249700
4,5,1920,2008,736,716,0,1452,0,0,2,0,2,3,8,0,2009,Partial,113000
5,7,1966,1966,955,0,0,955,1,0,1,0,3,1,6,0,2007,Normal,127000
6,6,1997,1997,794,676,0,1470,0,1,2,0,3,1,6,0,2007,Normal,177000
6,6,1934,1950,816,0,360,1176,0,0,1,0,3,1,6,112,2006,Normal,114500
5,5,1963,1963,816,0,0,816,1,0,1,0,2,1,5,106,2010,Normal,110000
9,5,1981,1987,1842,0,0,1842,2,0,0,1,0,1,5,857,2006,Normal,385000
5,5,1955,1955,384,0,0,1360,0,0,1,0,3,1,6,0,2007,Normal,130000
6,5,1964,1964,1425,0,0,1425,0,0,2,0,3,1,7,0,2008,Normal,180500
8,5,1999,2000,970,756,0,1739,1,0,2,1,3,1,7,115,2009,Abnorml,172500
7,5,2004,2004,860,860,0,1720,0,0,2,1,3,1,7,0,2006,Normal,196500
10,5,2006,2006,1410,1519,0,2945,0,0,3,1,3,1,10,192,2006,Partial,438780
5,7,1972,1972,780,0,0,780,0,0,1,0,2,1,4,196,2008,Normal,124900
6,5,2004,2004,1158,0,0,1158,1,0,1,1,3,1,5,0,2006,Partial,158000
5,7,1920,1996,530,530,0,1111,0,0,1,0,3,1,6,0,2007,Normal,101000
8,5,2006,2006,1370,0,0,1370,0,0,2,0,2,1,6,120,2007,Normal,202500
7,6,1921,1950,576,808,0,1710,0,0,2,0,3,1,9,12,2010,Normal,140000
7,5,1997,1998,1057,977,0,2034,1,0,2,1,3,1,8,576,2009,Normal,219500
8,5,2004,2005,1143,1330,0,2473,0,0,2,1,4,1,9,192,2007,Normal,317000
7,5,1970,1989,1947,0,0,2207,1,0,2,0,3,1,7,301,2010,Normal,180000
7,5,2003,2003,1453,0,0,1479,1,0,2,0,3,1,7,144,2007,Normal,226000
4,6,1945,1950,747,0,0,747,0,0,1,0,2,1,4,0,2010,Normal,80000
7,4,1953,1953,1304,983,0,2287,0,0,2,0,3,1,7,0,2006,Normal,225000
7,6,1973,1973,2223,0,0,2223,1,0,2,0,3,1,8,300,2007,Normal,244000
4,6,1982,2006,845,0,0,845,1,0,1,0,2,1,4,0,2007,Normal,129500
7,5,1998,1998,832,833,0,1718,0,0,2,1,3,1,7,0,2009,Normal,185000
5,7,1954,2003,1086,0,0,1086,1,0,1,0,3,1,6,0,2010,Normal,144900
3,6,1915,1950,840,765,0,1605,0,0,2,0,3,2,8,0,2010,Normal,107400
4,5,1973,1973,462,462,0,988,1,0,1,0,2,1,5,120,2009,Normal,91000
4,7,1956,1956,952,0,0,952,0,0,1,0,2,1,4,0,2008,Normal,135750
5,5,1948,2001,672,213,0,1285,1,0,1,0,2,1,6,0,2008,Normal,127000
4,5,1968,1968,1768,0,0,1768,0,0,2,0,4,2,8,0,2010,Normal,136500
5,6,1910,1981,440,548,0,1230,0,0,1,1,2,1,5,74,2009,Normal,110000
6,6,1968,1968,896,960,0,2142,0,0,2,1,4,1,8,0,2009,Normal,193500
6,5,1998,1998,1237,0,0,1337,1,0,2,0,2,1,5,0,2006,Normal,153500
8,5,2007,2007,1563,0,0,1563,0,0,2,0,3,1,6,144,2008,Normal,245000
5,5,1960,1960,1065,0,0,1065,0,0,1,1,3,1,6,74,2007,Normal,126500
7,5,1995,1996,384,670,0,1474,0,0,2,1,3,1,7,120,2009,Normal,168500
8,5,1991,1992,1288,1116,0,2417,0,0,2,1,4,1,9,127,2006,Normal,260000
6,5,2005,2005,684,876,0,1560,0,0,2,1,3,1,6,100,2009,Normal,174000
6,5,2009,2009,612,612,0,1224,0,0,2,1,2,1,4,0,2009,Partial,164500
3,2,1915,1982,1013,0,513,1526,0,0,1,0,2,1,6,0,2009,Abnorml,85000
4,5,1994,1995,990,0,0,990,1,0,1,0,3,1,5,0,2007,Normal,123600
4,5,1950,1950,0,0,0,1040,0,0,1,0,2,1,4,0,2006,Normal,109900
5,3,1961,1961,1235,0,0,1235,0,0,1,0,2,1,6,0,2006,Abnorml,98600
5,7,1921,2006,876,0,0,964,1,0,1,0,2,1,5,0,2009,Normal,163500
6,6,1910,1998,1214,1031,0,2291,0,1,2,0,4,2,9,0,2007,Normal,133900
6,5,1997,1997,824,881,0,1786,1,0,2,1,3,1,7,0,2007,Normal,204750
6,8,1993,1993,680,790,0,1470,0,0,2,1,3,1,6,232,2009,Normal,185000
7,5,1999,1999,1588,0,0,1588,0,0,2,0,3,1,6,158,2006,Normal,214000
4,5,1965,1965,960,0,0,960,1,0,1,0,3,1,6,120,2007,Normal,94750
5,5,1920,1950,458,0,0,835,0,0,1,0,2,1,5,0,2010,Abnorml,83000
4,5,1959,1959,950,0,0,1225,1,0,1,1,3,1,6,352,2010,Normal,128950
6,7,1977,2001,1610,0,0,1610,1,0,2,0,3,1,6,168,2010,Normal,205000
6,5,1985,1985,741,755,0,1732,0,0,2,1,3,1,7,192,2010,Normal,178000
5,5,1979,1979,0,0,0,1535,0,0,2,0,4,2,8,0,2009,Alloca,118964
7,5,2009,2009,1226,0,0,1226,0,0,2,0,3,1,6,0,2010,Normal,198900
7,4,1931,1950,1040,592,0,1818,0,0,1,1,4,1,7,0,2007,Normal,169500
8,5,2003,2004,1053,939,0,1992,0,0,2,1,3,1,9,140,2008,Normal,250000
4,7,1885,1995,641,0,0,1047,0,0,1,0,2,1,6,0,2007,Normal,100000
5,5,1948,1950,789,0,0,789,0,0,1,0,2,1,5,0,2008,Partial,115000
5,7,1919,2005,793,520,0,1517,0,0,2,0,3,1,7,0,2007,Normal,115000
6,6,1977,1977,1844,0,0,1844,0,0,2,0,3,1,7,0,2010,Normal,190000
