workclass,fnlwgt,education,education-num,marital-status,occupation,race,gender,hours-per-week,above/below
0,329530,8,5,2,11,0,1,40,1
0,273818,2,10,0,2,0,1,55,1
0,256522,12,2,2,7,0,1,40,1
0,196001,4,9,3,8,0,0,40,1
0,72630,1,13,2,5,0,1,50,1
0,50295,2,10,0,10,0,1,48,1
0,203240,8,5,2,3,0,0,32,1
0,202168,2,10,0,4,0,1,60,0
0,176839,4,9,0,7,0,1,40,1
0,176140,4,9,1,4,4,0,40,0
0,39952,8,5,0,7,0,1,37,1
0,292465,8,5,0,7,0,1,50,1
0,355320,1,13,0,5,0,1,45,0
0,182460,4,9,0,6,0,1,40,0
0,69345,7,11,0,10,0,1,55,0
0,165804,2,10,2,8,3,0,40,1
0,318259,7,11,1,0,0,0,36,1
0,117606,2,10,2,5,0,0,40,1
0,170718,4,9,0,4,0,1,40,1
0,413297,2,10,0,0,0,1,40,1
0,190457,4,9,2,2,0,0,30,1
0,88278,14,16,0,5,0,1,50,0
0,123429,2,10,0,1,0,1,40,0
0,498325,6,12,0,10,0,1,50,1
0,248533,2,10,2,3,4,0,40,1
0,137354,11,14,0,0,1,1,40,0
0,272910,4,9,1,2,0,0,40,1
0,163199,2,10,1,0,2,0,40,1
0,195860,4,9,0,1,0,1,40,1
0,115717,2,10,0,8,0,1,40,1
0,120029,2,10,2,8,0,0,20,1
0,221762,2,10,2,5,4,1,40,1
0,342164,2,10,1,3,0,0,15,1
0,176356,6,12,2,8,0,0,20,1
0,133239,7,11,2,0,0,0,40,1
0,159442,1,13,0,2,0,0,40,1
0,174461,2,10,2,4,0,0,45,1
0,361280,13,6,0,1,1,1,42,1
0,248448,9,4,1,2,0,0,40,1
0,161141,4,9,0,7,0,1,40,1
0,212465,4,9,0,1,0,1,40,0
0,163052,4,9,0,12,0,1,40,0
0,348690,1,13,0,10,0,1,40,1
0,206861,2,10,2,8,0,1,40,1
0,130840,4,9,2,1,0,1,20,1
0,415354,13,6,1,2,0,0,40,1
0,132191,4,9,2,1,0,1,40,1
0,202466,6,12,1,5,0,0,45,1
0,107658,2,10,2,0,0,0,10,1
0,102771,4,9,0,10,0,1,50,1
0,221403,10,8,2,2,4,1,18,1
0,52645,2,10,1,3,0,0,40,1
0,276310,8,5,0,7,0,1,40,1
0,134613,7,11,0,4,4,0,43,1
0,215479,4,9,1,10,4,1,20,1
0,266529,7,11,0,4,0,1,40,0
0,265807,2,10,3,1,0,1,45,1
0,178951,4,9,0,3,0,1,45,1
0,241126,11,14,0,3,0,1,40,0
0,176544,2,10,2,2,0,1,48,1
0,169180,2,10,4,2,0,0,45,1
0,157069,6,12,0,7,0,1,40,0
0,99357,11,14,0,5,0,0,50,0
0,220426,4,9,2,6,0,1,40,1
0,115912,2,10,0,1,0,1,40,1
0,27032,13,6,2,3,0,0,12,1
0,170720,10,8,2,2,0,1,16,1
0,183162,4,9,4,7,0,0,40,1
0,192360,1,13,0,4,0,1,35,0
0,128553,2,10,2,4,4,0,40,1
0,209423,12,2,0,2,0,1,38,1
0,93793,11,14,0,5,0,1,38,0
0,133602,1,13,1,4,0,1,40,1
0,391329,2,10,2,8,0,0,30,1
0,96359,1,13,0,4,0,1,60,0
0,203894,2,10,2,10,0,0,24,1
0,196193,11,14,5,5,0,1,60,1
0,195994,12,2,2,11,0,0,40,1
0,50879,13,6,2,2,0,1,6,1
0,186849,4,9,2,6,0,1,40,1
0,201127,2,10,0,10,0,1,50,1
0,110998,4,9,2,2,2,0,36,1
0,190466,4,9,1,1,0,1,40,1
0,167140,2,10,2,2,0,1,24,1
0,110230,13,6,2,2,0,1,11,1
0,287658,4,9,2,8,4,1,40,1
0,224954,2,10,2,7,0,1,25,1
0,37618,2,10,0,1,0,1,40,1
0,37314,2,10,0,1,0,1,40,1
0,420749,6,12,0,1,0,1,40,0
0,482732,13,6,2,7,0,1,40,1
0,206215,4,9,2,8,0,0,40,1
0,101364,4,9,0,6,0,1,40,1
0,216856,11,14,0,3,0,1,50,1
0,256019,11,14,2,5,0,0,35,1
0,348144,2,10,1,10,0,1,53,1
0,190293,1,13,2,5,0,0,40,1
0,176729,1,13,0,1,0,1,60,0
0,166961,3,7,3,3,0,0,20,1
0,86373,4,9,0,7,0,1,50,1
0,320513,9,4,5,1,4,1,50,1
0,108496,2,10,1,1,0,1,40,1
0,323155,12,2,0,9,0,1,85,1
0,65389,4,9,2,2,2,1,30,1
0,414871,4,9,2,1,0,1,40,1
0,161607,2,10,0,10,0,1,45,1
0,224953,13,6,0,7,4,1,40,1
0,261382,11,14,0,3,0,1,45,0
0,35032,4,9,0,1,0,1,40,1
0,146091,1,13,0,5,0,0,20,0
0,267431,1,13,2,3,4,0,20,1
0,121240,4,9,2,2,0,1,30,1
0,192572,4,9,2,8,0,0,45,1
0,211028,2,10,2,8,0,0,40,1
0,202203,1,13,2,8,0,0,50,1
0,159297,2,10,2,8,1,0,15,1
0,310158,2,10,2,10,0,1,30,1
0,200089,2,10,0,1,0,1,40,1
0,38353,4,9,0,1,0,1,45,1
0,76280,4,9,0,4,0,0,40,1
0,68872,4,9,0,10,1,0,20,1
0,103596,4,9,0,6,0,1,40,1
0,186203,4,9,0,2,0,1,50,1
0,257910,1,13,2,4,0,1,50,1
0,200227,7,11,0,8,4,0,40,1
0,227669,2,10,2,7,4,0,40,1
0,117210,2,10,2,8,0,1,25,1
0,76144,4,9,2,4,0,1,50,1
