workclass,fnlwgt,education,education-num,marital-status,occupation,race,gender,hours-per-week,above/below
2,183884,4,9,0,4,0,1,50,0
2,116211,2,10,0,4,0,1,40,1
2,29582,3,7,2,9,0,1,50,1
2,165611,1,13,0,4,0,1,35,1
2,289224,1,13,2,4,0,1,40,1
2,22743,1,13,1,4,0,1,70,0
2,158950,1,13,0,3,0,1,45,1
2,50408,10,8,0,3,0,1,20,1
2,224314,1,13,1,3,0,0,45,1
2,79662,4,9,0,10,0,1,60,1
2,240900,1,13,0,3,0,1,40,0
2,114674,2,10,0,4,0,1,55,0
2,88500,1,13,0,3,0,1,40,0
2,148805,4,9,1,2,0,0,33,1
2,226215,1,13,2,4,0,1,40,1
2,165609,2,10,0,3,0,1,50,1
2,206609,4,9,2,1,0,1,50,1
2,134414,2,10,0,3,0,1,50,1
2,184456,4,9,0,3,0,1,55,0
2,85109,14,16,0,5,0,1,50,1
2,139268,1,13,0,3,0,1,60,0
2,215423,4,9,2,4,0,0,70,1
2,160813,4,9,3,3,0,0,60,1
2,179579,14,16,0,4,0,1,60,0
2,99328,1,13,0,9,0,1,40,0
2,231781,11,14,0,4,0,1,50,0
2,132601,1,13,0,1,0,1,40,0
2,188615,3,7,0,4,0,1,20,0
2,136277,4,9,2,4,4,0,16,1
2,126850,4,9,0,10,0,1,65,1
2,318280,1,13,0,3,0,1,55,0
2,111567,1,13,0,4,0,1,40,1
2,272551,1,13,1,0,0,0,60,0
2,263786,1,13,2,3,0,1,40,0
2,160731,4,9,2,1,0,1,40,1
2,150384,4,9,2,4,0,1,40,1
2,443508,14,16,0,4,0,1,60,0
2,504423,11,14,0,4,1,1,60,0
2,37394,1,13,0,5,0,1,50,0
2,161482,4,9,0,3,0,0,40,1
2,127651,1,13,0,4,0,1,65,0
2,31661,4,9,0,9,0,1,65,1
2,253811,5,15,0,5,0,1,55,0
2,116133,4,9,2,4,0,1,41,1
2,264554,4,9,0,10,0,1,40,0
2,142020,4,9,0,4,0,1,80,1
2,275366,4,9,0,3,0,1,50,0
2,88973,2,10,0,4,0,1,84,0
2,357223,13,6,2,2,0,1,16,1
2,192128,5,15,0,5,0,1,45,0
2,195727,4,9,0,3,0,1,40,1
2,106634,11,14,2,4,0,0,35,0
2,465725,4,9,1,6,0,1,25,1
2,84924,2,10,0,3,0,1,44,0
2,176900,2,10,5,8,0,0,25,1
2,164909,11,14,0,4,0,1,54,0
2,64875,7,11,1,9,0,1,50,1
2,173326,4,9,2,5,0,0,35,1
2,117674,1,13,0,3,0,1,40,0
2,173944,1,13,0,6,0,1,65,0
2,107231,4,9,0,3,0,1,55,1
2,104813,1,13,0,3,0,1,40,0
2,214994,2,10,0,4,0,1,55,0
2,91039,11,14,0,4,0,1,45,0
2,110457,1,13,0,4,0,1,50,0
2,95835,7,11,0,4,0,1,55,0
2,123552,9,4,0,4,0,1,55,1
2,298539,4,9,2,4,0,1,50,1
2,320811,4,9,0,4,0,1,50,0
2,52565,9,4,0,10,0,1,70,1
2,127605,11,14,0,5,0,1,60,0
2,177951,2,10,0,3,0,1,32,1
2,120121,1,13,0,4,0,1,50,0
2,236676,4,9,0,3,0,1,50,0
2,66935,4,9,2,2,0,1,30,1
2,204598,7,11,0,2,0,1,80,1
2,188694,5,15,0,5,0,1,50,0
2,129573,6,12,0,4,0,1,45,1
2,82578,1,13,0,4,0,1,40,0
2,93557,6,12,0,4,0,1,45,0
2,211020,1,13,0,4,0,1,60,0
2,96660,4,9,0,8,0,0,8,0
2,248160,13,6,0,4,0,1,40,0
2,235646,4,9,2,1,0,1,47,1
2,151580,1,13,0,0,0,1,40,0
2,146365,2,10,4,4,0,0,24,1
2,173968,2,10,0,4,0,1,40,0
2,321764,5,15,0,5,0,1,50,0
2,270079,1,13,0,4,0,1,50,0
2,148437,1,13,2,3,0,1,60,1
2,106169,2,10,1,3,0,0,40,1
2,182211,2,10,1,3,0,0,70,1
2,105044,4,9,1,1,0,1,40,1
2,120384,4,9,0,4,0,1,40,0
2,328011,2,10,0,1,0,1,20,1
2,392502,1,13,0,4,0,1,60,1
2,76860,15,3,0,4,1,1,40,0
2,210013,2,10,2,4,0,1,50,0
2,120131,4,9,0,4,0,1,50,1
2,128715,4,9,0,4,0,1,45,0
2,328610,2,10,0,4,0,1,55,0
2,279914,5,15,0,5,0,1,40,0
2,230592,1,13,0,3,0,1,50,1
2,248476,2,10,0,3,0,1,45,0
2,63322,1,13,2,4,0,1,60,1
2,59840,2,10,0,4,0,1,60,1
2,193720,4,9,0,4,0,1,70,0
2,172927,6,12,0,5,0,1,50,0
2,237713,5,15,0,5,0,1,50,0
2,103824,11,14,0,4,0,1,40,0
2,223566,5,15,2,4,0,1,15,1
2,487751,1,13,0,4,0,1,50,1
2,152307,4,9,0,1,0,1,40,1
2,233727,1,13,0,4,0,1,50,0
2,312232,1,13,0,3,0,1,55,0
2,98980,4,9,5,4,0,1,99,0
2,113718,3,7,0,3,0,1,40,1
2,49020,6,12,2,9,0,1,35,1
2,40666,4,9,0,9,0,1,40,0
2,214690,2,10,3,8,0,1,40,1
2,303211,4,9,2,4,0,1,40,1
2,107627,4,9,0,3,0,1,60,0
2,121912,1,13,1,4,0,1,50,0
2,140644,1,13,0,3,0,1,45,1
2,167882,7,11,1,4,0,0,70,0
2,557349,1,13,0,4,0,1,70,1
2,182714,1,13,2,5,0,0,40,1
2,190044,7,11,0,4,0,1,52,0
2,132559,14,16,0,1,0,1,55,0
2,284526,15,3,0,3,0,1,40,1
2,377018,3,7,0,4,0,1,40,1
2,229732,6,12,1,2,0,1,40,1
2,103794,11,14,1,4,0,0,35,1
2,49249,6,12,0,4,0,1,50,0
2,133876,4,9,0,4,0,1,45,1
2,137421,4,9,0,3,1,1,45,1
2,222829,11,14,0,4,0,1,60,0
2,375807,1,13,0,3,0,1,60,0
2,77764,1,13,0,5,0,1,60,0
2,172246,1,13,0,3,0,1,40,0
2,127605,1,13,0,3,0,1,40,0
2,123490,1,13,0,4,0,1,40,0
2,137232,1,13,5,3,0,0,42,1
2,46577,1,13,4,9,0,0,6,1
2,233149,6,12,0,10,0,1,45,0
2,176289,14,16,2,5,0,0,40,1
2,156192,2,10,0,4,0,1,45,0
2,84231,11,14,0,3,0,1,50,0
2,140915,1,13,0,0,3,1,40,0
2,193720,1,13,0,4,0,1,48,1
2,212600,1,13,0,4,0,1,40,0
2,171615,5,15,0,5,0,1,55,0
2,124993,13,6,0,4,0,1,60,1
2,75257,4,9,0,1,0,0,40,1
2,38876,6,12,0,9,0,1,50,0
2,240124,2,10,0,9,0,1,50,1
2,118584,2,10,1,4,0,0,40,1
2,149689,5,15,0,5,0,1,48,0
2,339116,7,11,1,4,0,0,40,1
2,170993,5,15,1,5,0,1,40,0
2,384276,2,10,0,4,0,1,60,0
2,204470,2,10,0,3,0,1,99,0
2,273239,1,13,0,3,0,1,50,0
2,134737,4,9,0,9,0,1,70,1
2,163215,5,15,2,5,0,0,60,0
2,114495,1,13,0,4,0,1,50,0
2,217801,1,13,0,3,0,1,15,1
2,231491,4,9,0,1,0,1,50,0
2,213897,11,14,0,3,1,1,40,0
2,223275,1,13,0,4,0,1,40,1
2,270535,1,13,0,5,0,1,40,0
2,25005,2,10,0,4,0,1,40,1
2,160120,14,16,0,3,1,1,40,0
2,137733,13,6,0,4,0,1,44,0
2,200046,1,13,3,3,0,1,40,0
2,195096,1,13,0,5,0,1,50,1
2,218009,5,15,1,5,0,1,35,1
2,83141,4,9,2,1,0,1,40,1
2,169152,7,11,1,4,0,0,80,0
2,188694,14,16,0,4,0,1,40,0
2,209642,2,10,0,3,0,1,55,0
2,99554,1,13,1,3,0,0,40,1
2,113752,4,9,0,4,0,1,40,0
2,148287,11,14,0,4,0,1,60,0
2,164190,1,13,2,4,0,1,45,1
2,168165,2,10,0,7,0,1,40,1
2,203233,5,15,0,5,0,1,99,0
2,230919,1,13,0,3,0,1,60,0
2,99185,4,9,0,1,0,1,80,1
2,139364,1,13,0,1,0,1,35,0
2,187693,6,12,0,1,0,1,80,0
2,199816,5,15,0,5,0,1,50,0
2,134815,8,5,2,1,0,1,40,1
2,188861,11,14,2,4,0,1,50,0
2,158033,4,9,2,7,0,1,65,1
2,200825,1,13,0,4,0,1,50,0
2,165695,1,13,0,5,0,1,20,0
2,263925,4,9,1,3,0,1,50,1
2,83748,2,10,0,4,1,0,70,1
2,27444,1,13,0,3,0,1,40,0
2,66687,4,9,0,4,0,1,50,0
2,87584,4,9,0,8,0,0,10,1
2,223881,4,9,0,3,0,1,50,0
2,229741,6,12,0,1,0,1,45,1
2,323636,1,13,0,3,0,1,40,0
2,163234,1,13,0,4,0,1,55,0
2,144778,5,15,2,5,0,1,50,0
2,190762,4,9,0,4,0,1,45,0
2,304001,2,10,1,1,0,1,40,1
2,125645,2,10,0,3,0,1,50,0
2,83141,2,10,2,1,0,1,18,1
2,176837,2,10,0,1,0,1,45,0
2,67671,4,9,0,4,0,1,50,0
2,167914,6,12,2,4,0,1,50,1
2,180512,8,5,0,1,0,1,45,0
2,327258,2,10,0,4,0,0,60,0
2,153205,5,15,0,5,1,1,70,0
2,160079,11,14,4,8,0,0,25,1
2,83922,4,9,0,4,0,1,84,1
2,46221,14,16,2,5,0,1,55,0
2,289636,7,11,2,4,0,1,48,1
2,154174,1,13,0,4,0,1,50,0
2,179228,2,10,0,4,0,1,65,1
2,251585,2,10,0,3,0,1,40,1
2,51646,2,10,0,3,0,1,35,0
2,289349,6,12,0,3,0,1,70,0
2,119938,1,13,0,4,0,1,40,0
2,120796,4,9,0,4,0,1,40,1
2,65535,4,9,0,5,0,1,60,1
2,145574,7,11,0,4,0,1,40,0
2,45702,13,6,0,9,0,1,50,1
2,184920,4,9,2,9,0,1,25,1
2,188069,1,13,0,3,0,1,40,0
2,251240,1,13,0,4,0,1,50,0
2,513977,4,9,1,1,4,1,50,1
2,264453,7,11,1,4,0,1,30,1
2,147869,4,9,0,3,0,1,50,1
2,165981,2,10,0,9,0,1,60,1
2,108551,4,9,2,8,0,0,20,1
2,218835,5,15,0,5,0,1,60,0
2,144154,1,13,2,5,0,0,80,1
2,192755,1,13,2,4,0,0,55,0
2,248476,5,15,0,5,0,1,50,0
2,222532,5,15,2,3,0,0,45,1
2,72744,4,9,1,2,0,1,30,1
2,225053,1,13,0,4,0,1,60,0
2,197749,4,9,0,3,0,1,44,1
2,233117,5,15,0,5,0,1,40,0
2,295254,4,9,2,8,0,0,40,1
2,119182,4,9,0,4,0,1,40,1
2,262777,11,14,3,4,1,1,45,1
2,162442,11,14,2,3,0,0,40,0
2,123749,2,10,0,1,0,1,90,1
2,274363,2,10,0,3,0,1,50,0
2,84587,15,3,0,4,1,1,20,1
2,229116,5,15,1,5,0,1,70,0
2,139268,9,4,0,5,0,1,45,1
2,85566,2,10,2,3,0,1,65,1
2,216889,4,9,0,3,0,1,40,0
2,110901,5,15,0,5,0,1,55,0
2,152519,14,16,4,5,0,1,20,0
2,34266,13,6,0,4,0,1,50,1
2,142149,6,12,0,4,0,0,20,0
2,150095,4,9,0,10,0,1,40,1
2,185366,2,10,2,3,0,1,50,1
2,314739,2,10,0,4,0,1,92,0
2,186488,4,9,0,2,0,1,50,1
2,152414,5,15,0,5,0,1,60,0
2,69372,14,16,0,3,1,1,40,0
2,77660,2,10,0,4,0,1,50,0
2,190482,4,9,0,1,0,1,45,1
2,206362,7,11,0,1,0,1,40,1
2,196554,4,9,0,1,0,1,46,0
2,195398,2,10,0,3,0,1,48,0
2,318351,4,9,1,8,0,0,40,1
2,207841,2,10,0,4,0,1,45,0
2,99401,2,10,0,4,0,1,45,1
2,378036,10,8,2,9,0,1,10,1
2,171355,11,14,1,5,0,1,55,1
2,171041,1,13,2,6,0,1,40,1
2,292569,1,13,0,0,0,1,65,0
2,177271,5,15,0,4,0,1,84,0
2,314482,4,9,0,4,0,1,40,0
2,348326,4,9,0,10,0,1,50,1
2,144579,1,13,0,4,0,1,90,1
2,103948,7,11,0,4,0,1,60,1
2,177828,4,9,1,3,0,1,50,0
2,77132,4,9,0,4,0,1,40,0
2,159691,2,10,1,4,0,0,40,1
2,182148,1,13,0,4,0,1,60,0
2,120277,7,11,0,3,0,1,45,0
2,131916,4,9,4,4,0,0,50,1
2,170721,4,9,0,4,0,1,50,0
2,445382,6,12,0,1,0,1,60,0
2,174379,4,9,0,3,0,1,30,1
2,67001,2,10,0,7,0,1,50,1
2,223881,4,9,0,1,0,1,50,0
2,100793,14,16,0,5,0,1,41,0
2,214503,4,9,0,4,0,1,45,0
2,93225,1,13,1,4,0,1,40,1
2,154227,4,9,0,3,0,1,50,0
2,321529,2,10,0,4,0,1,40,0
2,240628,5,15,0,5,0,0,50,0
2,142443,1,13,0,4,0,1,50,1
2,34848,1,13,0,3,0,1,54,1
2,311259,4,9,0,3,0,1,40,0
2,204021,1,13,0,1,0,1,50,0
2,212894,1,13,0,4,0,1,60,0
2,170287,1,13,0,4,0,1,40,1
2,48063,4,9,0,9,0,1,80,1
2,209547,5,15,0,5,0,1,25,0
2,159219,5,15,0,5,0,1,40,0
2,168539,1,13,2,4,0,1,40,1
2,115931,4,9,0,10,0,1,50,1
2,240900,3,7,0,4,0,1,40,1
2,214974,4,9,0,1,0,1,60,1
2,72425,1,13,0,1,0,1,50,1
2,352640,2,10,2,8,0,0,20,1
2,155965,2,10,0,3,0,1,55,1
2,335902,2,10,0,1,0,1,55,1
2,291333,1,13,0,4,0,1,45,0
2,333636,4,9,0,4,4,1,75,1
2,153891,7,11,0,4,0,1,40,1
2,57233,2,10,0,1,0,1,40,0
2,132879,2,10,0,10,0,1,50,0
2,218555,11,14,2,5,0,1,40,1
2,94214,5,15,0,5,1,1,50,0
2,60087,4,9,0,1,0,1,45,0
2,214247,5,15,0,5,0,1,60,0
2,145714,4,9,0,4,0,1,60,0
2,165799,1,13,0,3,0,1,50,1
2,51415,2,10,0,3,0,1,40,1
2,77816,5,15,0,5,0,1,40,0
2,94869,11,14,1,5,4,1,40,0
2,61885,1,13,0,4,0,1,48,0
2,175339,1,13,0,3,0,1,40,0
2,124137,5,15,0,5,0,1,45,0
2,208049,6,12,1,4,0,0,40,1
2,172652,1,13,0,5,0,1,30,1
2,202466,1,13,0,8,0,0,45,0
2,180955,15,3,0,3,0,1,25,1
2,260198,1,13,0,3,0,1,40,0
2,264722,6,12,0,3,0,1,40,0
2,220667,9,4,4,4,0,0,40,1
2,298449,14,16,0,5,0,1,60,1
2,196963,2,10,2,4,0,0,60,1
2,308241,1,13,1,4,0,0,60,0
2,188738,1,13,0,4,0,1,40,0
2,198282,1,13,0,4,0,1,60,0
2,150917,2,10,0,4,0,1,45,0
2,46385,4,9,0,4,0,1,40,1
2,235847,11,14,2,4,0,0,52,1
2,110327,3,7,0,1,0,1,60,0
2,54260,2,10,0,3,0,1,45,1
2,229259,5,15,0,5,0,1,40,0
2,308241,4,9,0,3,0,0,40,1
2,76534,4,9,0,4,1,0,21,1
2,244172,2,10,0,1,0,1,40,0
2,145964,6,12,2,3,0,1,70,1
2,170174,4,9,0,4,0,1,60,0
2,141609,2,10,0,5,0,1,50,0
2,98360,10,8,0,1,0,1,40,1
2,168211,2,10,0,1,0,1,60,1
2,405601,2,10,0,4,0,1,60,1
2,196385,3,7,0,1,0,1,40,1
2,120753,1,13,2,3,0,1,50,1
2,112564,2,10,2,3,0,1,40,1
2,116608,2,10,0,2,0,0,20,0
2,190964,4,9,0,4,0,1,42,1
2,199233,5,15,0,5,0,1,35,0
2,125892,5,15,0,5,0,1,40,0
2,210610,5,15,0,5,0,1,31,0
2,337825,2,10,0,3,0,1,45,0
2,103575,5,15,0,4,0,1,40,0
2,304695,5,15,0,5,0,1,55,1
2,76482,2,10,0,9,0,1,50,1
2,197496,1,13,2,8,0,1,20,1
2,155981,1,13,4,4,0,1,40,0
2,45741,1,13,0,3,0,1,30,0
2,29702,4,9,0,2,0,1,35,0
2,410199,1,13,0,4,0,1,35,0
2,49298,14,16,0,5,0,1,50,0
2,67725,1,13,0,4,0,1,10,1
2,249072,2,10,0,4,0,1,60,0
2,242138,1,13,2,3,0,0,20,1
2,147377,4,9,0,4,0,1,45,1
2,327573,11,14,1,5,0,1,40,1
2,505365,1,13,3,3,0,1,70,1
2,81534,4,9,2,3,1,1,40,1
2,136986,11,14,0,4,0,1,40,1
2,277788,3,7,0,3,0,1,60,0
2,593246,1,13,2,2,0,0,50,0
2,98360,14,16,0,5,0,1,50,0
2,190290,4,9,0,1,0,1,40,0
2,233727,1,13,0,3,0,1,60,0
2,225442,4,9,2,9,0,1,40,1
2,186845,1,13,0,1,0,1,40,1
2,154782,4,9,2,9,0,1,20,1
2,206297,1,13,2,4,0,1,60,1
2,274948,2,10,0,1,0,1,60,1
2,216214,2,10,0,1,0,1,40,0
2,446724,1,13,0,4,0,1,35,1
2,162381,5,15,0,5,0,1,45,0
2,136402,6,12,0,3,0,1,40,1
2,177487,4,9,0,3,0,0,30,1
2,195904,7,11,0,1,0,1,40,1
2,333197,4,9,2,4,0,1,45,1
2,218164,2,10,0,1,0,1,55,0
2,153516,2,10,2,1,0,1,40,1
2,365739,4,9,0,1,0,1,50,1
2,158294,7,11,0,9,0,1,75,0
2,79078,4,9,2,9,0,1,50,1
2,131826,5,15,4,5,0,1,50,0
2,266047,1,13,2,4,0,1,65,0
2,285890,2,10,0,5,4,1,40,0
2,110861,1,13,0,3,0,1,50,0
2,188877,4,9,0,3,0,1,50,0
2,159472,4,9,0,3,0,1,40,1
2,130126,2,10,0,9,0,1,60,0
2,196514,1,13,2,5,0,1,40,1
2,174789,4,9,0,3,0,1,60,1
2,223267,4,9,0,1,0,1,78,1
2,51089,1,13,0,5,0,1,30,1
2,282951,2,10,1,5,0,1,40,1
2,196689,1,13,0,3,0,1,40,0
2,325159,7,11,0,9,0,1,40,1
2,109001,1,13,2,4,0,1,60,1
2,329980,1,13,0,3,0,1,50,0
2,74263,4,9,4,4,0,1,86,0
2,51286,11,14,0,3,0,1,65,0
2,214781,2,10,0,4,0,1,65,0
2,304871,2,10,2,4,0,1,40,1
2,182211,4,9,0,3,0,1,50,0
2,373593,11,14,0,4,0,1,60,0
2,378036,10,8,2,9,0,1,10,1
2,29520,4,9,2,2,0,0,65,1
2,447144,11,14,0,4,0,1,40,0
2,215458,14,16,2,5,0,1,45,0
2,149102,7,11,2,1,0,1,40,1
2,56588,2,10,4,4,0,0,70,1
2,183125,5,15,0,5,0,0,99,0
2,220821,11,14,0,5,0,1,70,0
2,68898,14,16,0,4,0,1,60,0
2,173628,1,13,0,3,0,1,45,1
2,204742,1,13,0,4,0,1,50,0
2,144949,1,13,0,3,0,1,70,0
2,325373,9,4,0,1,0,1,48,1
2,184245,4,9,0,4,0,1,50,0
2,209460,2,10,0,4,0,1,40,0
2,201314,4,9,0,9,0,1,50,1
2,179030,1,13,0,2,1,0,35,1
2,164616,14,16,0,5,0,1,45,0
2,235307,6,12,0,5,0,1,48,0
2,146103,4,9,0,3,0,1,30,0
2,677398,1,13,0,3,0,1,45,0
2,148003,1,13,0,8,0,0,6,0
2,144778,2,10,0,4,0,1,50,0
2,154410,4,9,0,1,0,1,60,0
2,83444,1,13,0,3,0,1,85,0
2,242080,1,13,0,5,0,1,45,0
2,304955,4,9,0,4,0,1,50,0
2,22313,2,10,0,3,0,1,40,0
2,95997,2,10,2,9,0,1,60,1
2,56019,5,15,0,5,1,1,50,0
2,136848,4,9,2,2,0,1,6,1
2,243165,4,9,0,3,0,1,50,0
2,213008,2,10,0,4,0,1,50,1
2,95634,2,10,1,1,0,0,40,1
2,201495,2,10,0,4,0,1,40,0
2,99146,7,11,0,1,0,1,55,1
2,337995,1,13,1,4,4,1,50,0
2,253060,1,13,0,4,0,1,55,0
2,64112,6,12,0,5,0,1,50,0
2,325159,1,13,0,4,0,1,50,0
2,200400,14,16,1,4,0,1,60,0
2,368014,5,15,0,5,0,1,60,0
2,342510,1,13,0,9,0,0,60,0
2,106232,5,15,0,5,0,1,48,0
2,97952,1,13,2,4,0,1,80,1
2,189941,1,13,0,5,0,1,60,0
2,170502,11,14,1,4,4,1,70,0
2,142076,2,10,0,9,0,1,60,1
2,182158,5,15,0,5,0,1,60,0
2,132576,4,9,0,3,0,1,45,0
2,147098,4,9,1,4,0,1,60,0
2,63503,1,13,0,3,0,1,60,0
2,363298,1,13,0,4,4,1,45,0
2,126225,4,9,0,4,0,1,40,0
2,437161,4,9,2,8,4,0,40,1
2,217848,10,8,0,8,0,1,40,0
2,126738,6,12,2,9,0,1,50,1
2,202069,2,10,0,4,4,0,30,1
2,60414,1,13,0,4,0,1,99,0
2,171338,11,14,0,3,0,1,40,0
2,115487,2,10,1,4,0,1,45,1
2,211020,14,16,0,5,0,1,50,0
2,116057,4,9,1,3,0,0,40,1
2,153078,4,9,0,4,1,1,70,0
2,192251,2,10,0,3,0,0,15,0
2,179708,2,10,0,1,0,1,40,1
2,77392,13,6,0,9,0,1,60,0
2,31709,2,10,0,8,0,0,20,0
2,132879,11,14,0,0,0,1,40,0
2,249644,4,9,0,4,0,1,50,0
2,102576,11,14,0,5,4,1,55,1
2,36085,5,15,0,5,0,1,60,0
2,220896,4,9,0,4,0,1,40,0
2,198841,1,13,0,3,0,1,50,0
